Datetime,temperature(°C),temperature(°F),humidity(%),pressure(hPa)
00:00:00 15/01/2024, 16.71, 62.08, 60.72, 986.37
00:00:10 15/01/2024, 16.71, 62.07, 60.72, 986.30
00:00:20 15/01/2024, 16.71, 62.07, 60.77, 986.36
00:00:30 15/01/2024, 16.70, 62.05, 60.77, 986.29
00:00:40 15/01/2024, 16.70, 62.05, 60.74, 986.34
00:00:50 15/01/2024, 16.70, 62.05, 60.74, 986.34
00:01:00 15/01/2024, 16.69, 62.04, 60.77, 986.34
00:01:10 15/01/2024, 16.70, 62.05, 60.77, 986.40
00:01:20 15/01/2024, 16.69, 62.04, 60.77, 986.28
00:01:30 15/01/2024, 16.68, 62.02, 60.73, 986.26
00:01:40 15/01/2024, 16.69, 62.03, 60.77, 986.27
00:01:50 15/01/2024, 16.69, 62.03, 60.74, 986.33
00:02:00 15/01/2024, 16.69, 62.03, 60.76, 986.33
00:02:10 15/01/2024, 16.68, 62.02, 60.74, 986.31
00:02:20 15/01/2024, 16.69, 62.03, 60.63, 986.30
00:02:30 15/01/2024, 16.70, 62.05, 60.71, 986.26
00:02:40 15/01/2024, 16.69, 62.04, 60.72, 986.34
00:02:50 15/01/2024, 16.69, 62.03, 60.68, 986.27
00:03:00 15/01/2024, 16.69, 62.03, 60.68, 986.25
00:03:10 15/01/2024, 16.68, 62.03, 60.68, 986.26
00:03:20 15/01/2024, 16.68, 62.02, 60.70, 986.28
00:03:30 15/01/2024, 16.68, 62.02, 60.68, 986.34
00:03:40 15/01/2024, 16.68, 62.03, 60.69, 986.29
00:03:50 15/01/2024, 16.68, 62.02, 60.69, 986.20
00:04:00 15/01/2024, 16.67, 62.00, 60.72, 986.27
00:04:10 15/01/2024, 16.67, 62.00, 60.75, 986.35
00:04:20 15/01/2024, 16.67, 62.00, 60.76, 986.24
00:04:30 15/01/2024, 16.67, 62.00, 60.74, 986.27
00:04:40 15/01/2024, 16.66, 61.99, 60.76, 986.26
00:04:50 15/01/2024, 16.66, 61.99, 60.77, 986.34
00:05:00 15/01/2024, 16.66, 61.98, 60.76, 986.28
00:05:11 15/01/2024, 16.65, 61.97, 60.76, 986.22
00:05:21 15/01/2024, 16.66, 61.98, 60.75, 986.33
00:05:31 15/01/2024, 16.65, 61.96, 60.78, 986.18
00:05:41 15/01/2024, 16.65, 61.96, 60.76, 986.24
00:05:51 15/01/2024, 16.64, 61.95, 60.76, 986.15
00:06:01 15/01/2024, 16.65, 61.96, 60.76, 986.24
00:06:11 15/01/2024, 16.65, 61.96, 60.77, 986.32
00:06:21 15/01/2024, 16.65, 61.96, 60.77, 986.29
